,Timestamp,ms
228,2019-04-28 14:19:03.636738,31.873
229,2019-04-28 14:19:04.699434,24.533
230,2019-04-28 14:19:05.760268,35.477
231,2019-04-28 14:19:06.829676,129.169
232,2019-04-28 14:19:07.990009,8.714
233,2019-04-28 14:19:09.032689,9.252
234,2019-04-28 14:19:10.079157,38.597
235,2019-04-28 14:19:11.156937,31.932
236,2019-04-28 14:19:12.227751,4.285
237,2019-04-28 14:19:13.262139,31.798
238,2019-04-28 14:19:14.330623,31.639
239,2019-04-28 14:19:15.396706,7.487
240,2019-04-28 14:19:16.439828,67.38
241,2019-04-28 14:19:17.540163,31.937
242,2019-04-28 14:19:18.614044,34.916
243,2019-04-28 14:19:19.697722,31.969
244,2019-04-28 14:19:20.767597,32.053
245,2019-04-28 14:19:21.834391,59.76
246,2019-04-28 14:19:22.932133,7.278
247,2019-04-28 14:19:23.972282,29.511
248,2019-04-28 14:19:25.031521,31.788
249,2019-04-28 14:19:26.100976,9.541
250,2019-04-28 14:19:27.142421,32.752
251,2019-04-28 14:19:28.208761,32.708
252,2019-04-28 14:19:29.273781,31.844
253,2019-04-28 14:19:30.339557,7.447
254,2019-04-28 14:19:31.379437,34.378
255,2019-04-28 14:19:32.446697,32.235
256,2019-04-28 14:19:33.515593,7.464
257,2019-04-28 14:19:34.559189,11.505
258,2019-04-28 14:19:35.601733,33.673
259,2019-04-28 14:19:36.667668,31.365
260,2019-04-28 14:19:37.735653,4.401
261,2019-04-28 14:19:38.779158,32.577
262,2019-04-28 14:19:39.846577,41.929
263,2019-04-28 14:19:40.924473,38.786
264,2019-04-28 14:19:41.999782,4.63
265,2019-04-28 14:19:43.037357,31.96
266,2019-04-28 14:19:44.102510,10.331
267,2019-04-28 14:19:45.147894,32.107
268,2019-04-28 14:19:46.213578,31.68
269,2019-04-28 14:19:47.281101,5.726
270,2019-04-28 14:19:48.315790,7.276
271,2019-04-28 14:19:49.355598,13.013
272,2019-04-28 14:19:50.404717,8.497
273,2019-04-28 14:19:51.444916,31.822
274,2019-04-28 14:19:52.509085,4.545
275,2019-04-28 14:19:53.542104,53.222
276,2019-04-28 14:19:54.634079,7.016
277,2019-04-28 14:19:55.675802,7.156
278,2019-04-28 14:19:56.711389,35.541
279,2019-04-28 14:19:57.779960,35.385
280,2019-04-28 14:19:58.847034,35.196
281,2019-04-28 14:19:59.917949,74.348
282,2019-04-28 14:20:01.029037,29.3
283,2019-04-28 14:20:02.091393,7.955
284,2019-04-28 14:20:03.134575,32.338
285,2019-04-28 14:20:04.204646,31.877
286,2019-04-28 14:20:05.271722,55.527
287,2019-04-28 14:20:06.367022,18.892
288,2019-04-28 14:20:07.420028,51.595
289,2019-04-28 14:20:08.500458,31.818
290,2019-04-28 14:20:09.572753,19.247
291,2019-04-28 14:20:10.623389,44.852
292,2019-04-28 14:20:11.701992,31.998
293,2019-04-28 14:20:12.769305,41.638
294,2019-04-28 14:20:13.846379,24.131
295,2019-04-28 14:20:14.901737,60.631
296,2019-04-28 14:20:15.996854,31.827
297,2019-04-28 14:20:17.066436,7.553
298,2019-04-28 14:20:18.111991,13.013
299,2019-04-28 14:20:19.157559,31.939
300,2019-04-28 14:20:20.226645,33.198
301,2019-04-28 14:20:21.288979,35.776
302,2019-04-28 14:20:22.356404,55.9
303,2019-04-28 14:20:23.442449,31.875
304,2019-04-28 14:20:24.511176,42.587
305,2019-04-28 14:20:25.589064,10.987
306,2019-04-28 14:20:26.635594,31.912
307,2019-04-28 14:20:27.697289,35.081
308,2019-04-28 14:20:28.764560,33.162
309,2019-04-28 14:20:29.834345,33.456
310,2019-04-28 14:20:30.912186,35.881
311,2019-04-28 14:20:31.984502,28.039
312,2019-04-28 14:20:33.051272,13.542
313,2019-04-28 14:20:34.106701,47.633
314,2019-04-28 14:20:35.192655,36.634
315,2019-04-28 14:20:36.265624,26.751
316,2019-04-28 14:20:37.326962,32.153
317,2019-04-28 14:20:38.392525,32.112
318,2019-04-28 14:20:39.463298,9.095
319,2019-04-28 14:20:40.506041,29.975
320,2019-04-28 14:20:41.572523,35.342
321,2019-04-28 14:20:42.640079,32.088
322,2019-04-28 14:20:43.710697,48.433
323,2019-04-28 14:20:44.793626,33.629
324,2019-04-28 14:20:45.862723,31.494
325,2019-04-28 14:20:46.926181,84.303
326,2019-04-28 14:20:48.050296,8.008
327,2019-04-28 14:20:49.088270,33.109
328,2019-04-28 14:20:50.149808,34.072
329,2019-04-28 14:20:51.217634,16.754
330,2019-04-28 14:20:52.269979,32.15
331,2019-04-28 14:20:53.342496,32.466
332,2019-04-28 14:20:54.449773,11.285
333,2019-04-28 14:20:55.498233,32.006
334,2019-04-28 14:20:56.575221,35.402
335,2019-04-28 14:20:57.647570,31.943
336,2019-04-28 14:20:58.778472,36.587
337,2019-04-28 14:20:59.847830,38.103
